Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
05-11-04,88,88,70,75.55,75.55,232535736,170036.32
08-11-04,76.8,78.6,75,75.15,75.2,68865277,52940.24
09-11-04,75.1,76.1,74.55,75.25,75.3,37460886,28202.36
10-11-04,75.5,75.95,75,75.05,75.05,17413433,13115.85
11-11-04,75.35,75.4,74.3,74.6,74.45,15961426,11930.37
12-11-04,75,82.4,73.65,74.55,74.65,4253463,3178.86
16-11-04,74.7,74.8,73.2,73.7,73.65,13254394,9770.65
17-11-04,73.7,75.2,73.5,73.7,73.6,20036184,14871.97
18-11-04,75,79.85,73.5,73.5,73.65,17954359,13249.79
19-11-04,73.65,74.85,73.5,73.65,73.55,15895741,11775.35
22-11-04,73.6,75.05,72,74.4,74.45,28118069,20764.92
23-11-04,75,76.5,74.95,76.1,75.85,29755772,22590.6
24-11-04,76.55,78,76.2,77.85,77.8,30821250,23848.43
25-11-04,77.9,79,76.8,76.95,77.05,23538442,18348.94
29-11-04,77.2,78,76.75,77.5,77.3,14201592,10973.35
30-11-04,77.9,79.7,76.85,79.25,79.1,39953911,31425.01
01-12-04,79.5,80.5,79,79.65,79.7,33721820,26934.8
02-12-04,80.5,81.35,79.95,80.45,80.45,18200351,14693.07
03-12-04,80.75,80.9,79.25,79.6,79.6,12751825,10177.4
06-12-04,81.6,82.1,79.65,80,79.9,10983285,8823.17
07-12-04,80.2,81.75,79.55,80.65,80.45,21482990,17369.31
08-12-04,80.7,81.2,79.55,80.05,80,21705590,17459.63
09-12-04,79.9,80.35,79.6,80,80,9418563,7535.35
10-12-04,81.6,81.6,78.7,78.9,79,9916789,7893.55
13-12-04,79.15,80,78.85,79.55,79.6,7050908,5605.57
14-12-04,80.1,81.75,79.8,81.65,81.6,16024313,12969.47
15-12-04,82,84.5,81.95,83.9,84.1,23958928,19981.98
16-12-04,84.5,85,83.5,83.8,83.8,9719163,8164.03
17-12-04,84.1,84.2,82.5,83.1,83,8752951,7288.7
20-12-04,83,83.95,83,83.2,83.25,6285852,5243.43
21-12-04,83.5,84.8,83.45,84.5,84.5,10321921,8699.51
22-12-04,84.95,84.95,82.9,82.95,83.15,8455261,7081.21
23-12-04,83,84,83,83.3,83.25,5830509,4870.16
24-12-04,83.75,84.4,83.3,83.8,83.65,5597965,4694.33
27-12-04,83.5,85.5,83,85.25,85.05,10965357,9298.52
28-12-04,85.45,87.15,85.3,87.1,86.95,10554064,9134.38
29-12-04,87,89.1,86.6,86.75,87.05,16424060,14380.05
30-12-04,87.15,87.8,85.3,85.65,85.65,16434144,14176.21
31-12-04,86.1,87.9,86,87.7,87.25,6575789,5714.15
03-01-05,88,88.8,87.05,88.7,88.5,10136028,8929.65
04-01-05,88.65,89.65,87.65,88.8,88.8,11406200,10135.22
05-01-05,88.45,89.1,82.25,84.45,84.85,14253722,12234.18
06-01-05,84.75,84.75,81.6,82.7,82.7,18412524,15322.53
07-01-05,83.9,83.95,82.8,83.55,83.35,7801660,6509.58
10-01-05,88,88,83.1,83.1,83.45,6833531,5752.27
11-01-05,83.5,83.8,81.55,81.85,81.8,8314946,6863.79
12-01-05,81,82.5,78,79.35,79.05,14900817,11946.05
13-01-05,80.3,82.5,79.6,82.25,81.8,11014700,8966.86
14-01-05,82.35,82.6,80.6,81.45,81.15,10422186,8504.29
17-01-05,82,82.1,79.1,81.5,81.25,9284303,7470.07
18-01-05,81.5,82.1,81,81.3,81.35,6463672,5279.09
19-01-05,81,82.05,79.5,79.75,79.8,8993427,7239.34
20-01-05,80,80,77.5,78.2,78.25,8787095,6892.94
24-01-05,84.7,84.7,77.75,77.8,78.05,3818135,2989.09
25-01-05,78.5,81.1,77.4,80.9,80.8,18803080,14936.78
27-01-05,81.5,81.8,79.4,80.2,79.9,11389322,9197.83
